uniref90_cluster	length	percent_identity_to_query	evalue
UniRef90_A0A6P6DGS8	532	65.3	0
UniRef90_A0A8C9E9G0	474	65.3	0
UniRef90_A0A8C9PLD2	518	65.2	0
UniRef90_UPI0025997931	578	65.1	0
UniRef90_A0A6J0AF40	479	65.1	0
UniRef90_A0ABN8YGA6	427	65.1	0
UniRef90_A0A671F8K1	504	65.0	0
UniRef90_A0ABM1CMD7	572	65.0	0
UniRef90_A0A8C3YDG5	491	65.0	0
UniRef90_A0A8C9PDR2	491	64.9	0
UniRef90_A0A8C5KGA4	521	64.9	0
UniRef90_A0AC58L2W5	529	64.8	0
UniRef90_A0A8C2V091	529	64.5	0
UniRef90_A0AAU9YVE3	526	64.5	0
UniRef90_H0XQH5	472	64.5	0
UniRef90_UPI004053F481	562	64.2	0
UniRef90_A0A8C6BCQ0	509	64.2	0
UniRef90_A0A8B7Q0P4	504	64.0	0
UniRef90_A0ABM0LGM8	526	64.0	0
UniRef90_UPI0018A01DE5	563	63.9	0
UniRef90_UPI0027144E63	525	63.8	0
UniRef90_UPI0024535EA3	527	63.8	0
UniRef90_F1MZM9	550	63.7	0
UniRef90_UPI0018A10080	548	63.7	0
UniRef90_UPI0026602978	547	63.6	0
UniRef90_UPI002019E140	557	63.5	0
UniRef90_UPI0040541F2A	561	63.5	0
UniRef90_A0A8I3MQH3	541	63.3	0
UniRef90_UPI00405425B6	521	63.3	0
UniRef90_A0A8C6FTH3	543	63.3	0
UniRef90_A0A673UZ47	469	63.3	0
UniRef90_A0A8B7ABX1	579	63.2	0
UniRef90_A0A452ENX6	550	63.1	0
UniRef90_UPI003605255F	639	63.0	0
UniRef90_UPI00062A7BD5	489	63.0	0
UniRef90_UPI002598CBD8	553	62.8	0
UniRef90_A0A2Y9E5K1	611	62.8	0
UniRef90_A0A6J0E232	526	62.8	0
UniRef90_UPI003F6B1178	515	62.6	0
UniRef90_A0ABM4P5W6	569	62.6	0
UniRef90_UPI00081A27E9	527	62.6	0
UniRef90_A0A6G1ALM5	529	62.5	0
UniRef90_UPI0006432633	493	62.4	0
UniRef90_UPI0021E326A0	528	62.3	0
UniRef90_A0A9J7J7F0	526	62.3	0
UniRef90_A0A2Y9K235	501	62.2	0
UniRef90_UPI00109FC30D	526	62.1	0
UniRef90_UPI00265E0DCA	517	62.0	0
UniRef90_F1MTV1	553	61.7	0
UniRef90_A0A1U7R2I2	526	61.7	0
UniRef90_A0A9X9Q6V2	501	61.7	0
UniRef90_A0A6P3GUF9	554	61.6	0
UniRef90_UPI0012625AE4	526	61.6	0
UniRef90_F7FB21	526	61.6	0
UniRef90_UPI00265FE6EE	597	61.5	0
UniRef90_A0A5N3XP03	554	61.4	0
UniRef90_A0A5G2QVS4	463	61.2	0
UniRef90_A0A1S3AA85	597	61.1	0
UniRef90_A0A6J0VKV4	554	61.0	0
UniRef90_UPI001EE2B6AB	487	61.0	0
UniRef90_UPI00188E9A35	576	60.8	0
UniRef90_UPI00235A4FBD	507	60.6	0
UniRef90_Q812F3	526	60.6	0
UniRef90_A0A8C6W664	526	60.4	0
UniRef90_UPI002243080E	526	60.4	0
UniRef90_K9IYB4	508	60.3	0
UniRef90_UPI00174EEBDD	470	60.3	0
UniRef90_A0A8B7WIE0	532	60.3	0
UniRef90_UPI0040539E0F	579	60.2	0
UniRef90_UPI00189F9BE7	566	60.1	0
UniRef90_UPI0018F3DF1B	606	60.1	0
UniRef90_P23613	529	60.0	0
UniRef90_UPI00187A2875	508	59.9	0
UniRef90_A0A1S3AA39	561	59.9	0
UniRef90_A0A7J8D909	504	59.8	0
UniRef90_UPI0023EE1CE4	508	59.6	0
UniRef90_UPI0003C909FE	523	59.2	0
UniRef90_A0A8C6ZYY0	475	58.9	0
UniRef90_A0A6J2ML87	508	58.8	0
UniRef90_UPI0021104877	503	58.8	0
UniRef90_UPI0038F7F66D	477	58.8	0
UniRef90_A0A7J7V5A7	504	58.7	0
UniRef90_UPI003D69B88D	650	58.7	0
UniRef90_A0A1S3AA25	525	58.7	0
UniRef90_A0A1S3FFH9	548	58.6	0
UniRef90_G3WEF7	614	58.6	0
UniRef90_UPI0024046ADE	499	58.4	0
UniRef90_A0A8C6FTL7	528	58.4	0
UniRef90_UPI0030D0C12E	522	58.4	0
UniRef90_G1PL78	503	58.2	0
UniRef90_L5KR52	474	58.1	0
UniRef90_UPI00109F95B2	512	58.1	0
UniRef90_UPI0012622CF4	512	58.1	0
UniRef90_UPI0003345F25	565	58.1	0
UniRef90_P48794	512	58.1	0
UniRef90_A0A4X2K3A0	615	58.0	0
UniRef90_UPI002115F1C3	540	57.9	0
UniRef90_UPI0024ADA4E9	481	57.8	0
UniRef90_A0A091DEG1	497	57.7	0
UniRef90_UPI001CC37FB6	605	57.7	0
UniRef90_UPI0036D9155C	605	57.7	0
UniRef90_UPI003F5A859F	568	57.7	0
UniRef90_UPI003F5A2C17	568	57.7	0
UniRef90_UPI0007A6E43D	542	57.6	0
UniRef90_UPI00148601DC	512	57.6	0
UniRef90_K4PBL9	604	57.6	0
UniRef90_UPI003B676DA6	607	57.5	0
UniRef90_UPI002019E2F3	533	57.5	0
UniRef90_UPI0021E2A8C9	512	57.4	0
UniRef90_UPI001890833A	606	57.4	0
UniRef90_UPI0023F80711	564	57.2	0
UniRef90_A0A7K7BK44	488	57.0	0
UniRef90_A0ABM3XSB1	587	56.9	0
UniRef90_A0A1S3A9Y7	586	56.9	0
UniRef90_UPI00338DDF38	590	56.8	0
UniRef90_UPI00186B3B63	612	56.8	0
UniRef90_UPI00188F2033	563	56.8	0
UniRef90_UPI00339C3DB0	631	56.6	0
UniRef90_UPI002452F3AB	507	56.6	0
UniRef90_UPI003D681799	603	56.5	0
UniRef90_A0A7D5BCN8	473	56.4	0
UniRef90_UPI003F5A92A3	525	56.2	0
UniRef90_UPI00111C85D0	525	56.1	0
UniRef90_A0A8C6QPE1	493	56.1	0
UniRef90_A0A8C8UIY0	489	56.1	0
UniRef90_A0A6I9M6P7	513	56.0	0
UniRef90_D6C448	513	55.9	0
UniRef90_A0ABM0ZRN5	517	55.9	0
UniRef90_UPI002244A41F	622	55.8	0
UniRef90_F6WHK7	470	55.7	0
UniRef90_A0A7K8XGT0	488	55.7	0
UniRef90_UPI0024E1CC68	598	55.6	0
UniRef90_UPI0022A7372C	522	55.5	0
